"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","UnitName","UnitCode","DistrictId","UnitTypeId","ParentUnitId"
"48211000000054017","48211000000013007","2026-07-21 13:32:52:993","2026-07-21 13:32:52:993","Cubbon Park PS","BLR-CP","48211000000048013","48211000000054006",""
"48211000000054018","48211000000013007","2026-07-21 13:32:52:997","2026-07-21 13:32:52:997","Whitefield PS","BLR-WF","48211000000048013","48211000000054006",""
"48211000000054019","48211000000013007","2026-07-21 13:32:52:999","2026-07-21 13:32:52:999","Mysuru City PS","MYS-CT","48211000000048014","48211000000054006",""
"48211000000054020","48211000000013007","2026-07-21 13:32:53:001","2026-07-21 13:32:53:001","Mysuru Circle Office","MYS-CO","48211000000048014","48211000000054007",""
"48211000000054021","48211000000013007","2026-07-21 13:32:53:003","2026-07-21 13:32:53:003","Mangaluru North PS","MNG-NP","48211000000048015","48211000000054006",""
"48211000000054022","48211000000013007","2026-07-21 13:32:53:005","2026-07-21 13:32:53:005","Mangaluru South PS","MNG-SP","48211000000048015","48211000000054006",""
"48211000000054023","48211000000013007","2026-07-21 13:32:53:007","2026-07-21 13:32:53:007","Belagavi Camp PS","BEL-CP","48211000000048016","48211000000054006",""
"48211000000054024","48211000000013007","2026-07-21 13:32:53:008","2026-07-21 13:32:53:008","Belagavi Rural PS","BEL-RP","48211000000048016","48211000000054006",""
"48211000000054025","48211000000013007","2026-07-21 13:32:53:010","2026-07-21 13:32:53:010","Hubballi City PS","HBD-CT","48211000000048017","48211000000054006",""
"48211000000054026","48211000000013007","2026-07-21 13:32:53:012","2026-07-21 13:32:53:012","Dharwad District HQ","HBD-HQ","48211000000048017","48211000000054009",""
"48211000000054027","48211000000013007","2026-07-21 13:32:53:013","2026-07-21 13:32:53:013","Kalaburagi Town PS","KLB-TN","48211000000048018","48211000000054006",""
"48211000000054028","48211000000013007","2026-07-21 13:32:53:015","2026-07-21 13:32:53:015","Kalaburagi Sub-Division","KLB-SD","48211000000048018","48211000000054008",""
"48211000000072933","48211000000013007","2026-07-22 09:17:26:999","2026-07-22 09:17:26:999","Bagalkote PS","BAGBAG","48211000000054381","48211000000054006",""
"48211000000072934","48211000000013007","2026-07-22 09:17:27:003","2026-07-22 09:17:27:003","Jamkhandi PS","BAGJAM","48211000000054381","48211000000054006",""
"48211000000072935","48211000000013007","2026-07-22 09:17:27:005","2026-07-22 09:17:27:005","Mudhola PS","BAGMUD","48211000000054381","48211000000054006",""
"48211000000072936","48211000000013007","2026-07-22 09:17:27:006","2026-07-22 09:17:27:006","Badami PS","BAGBAD","48211000000054381","48211000000054006",""
"48211000000072937","48211000000013007","2026-07-22 09:17:27:008","2026-07-22 09:17:27:008","Bilagi PS","BAGBIL","48211000000054381","48211000000054006",""
"48211000000072938","48211000000013007","2026-07-22 09:17:27:009","2026-07-22 09:17:27:009","Hunagunda PS","BAGHUN","48211000000054381","48211000000054006",""
"48211000000072939","48211000000013007","2026-07-22 09:17:27:011","2026-07-22 09:17:27:011","Ilkal PS","BAGILK","48211000000054381","48211000000054006",""
"48211000000072940","48211000000013007","2026-07-22 09:17:27:012","2026-07-22 09:17:27:012","Rabkavi Banhatti PS","BAGRAB","48211000000054381","48211000000054006",""
"48211000000072941","48211000000013007","2026-07-22 09:17:27:013","2026-07-22 09:17:27:013","Guledgudda PS","BAGGUL","48211000000054381","48211000000054006",""
"48211000000072942","48211000000013007","2026-07-22 09:17:27:015","2026-07-22 09:17:27:015","Ballari PS","BALBAL","48211000000054382","48211000000054006",""
"48211000000072943","48211000000013007","2026-07-22 09:17:27:016","2026-07-22 09:17:27:016","Kurugodu PS","BALKUR","48211000000054382","48211000000054006",""
"48211000000072944","48211000000013007","2026-07-22 09:17:27:018","2026-07-22 09:17:27:018","Kampli PS","BALKAM","48211000000054382","48211000000054006",""
"48211000000072945","48211000000013007","2026-07-22 09:17:27:019","2026-07-22 09:17:27:019","Sanduru PS","BALSAN","48211000000054382","48211000000054006",""
"48211000000072946","48211000000013007","2026-07-22 09:17:27:021","2026-07-22 09:17:27:021","Siraguppa PS","BALSIR","48211000000054382","48211000000054006",""
"48211000000072947","48211000000013007","2026-07-22 09:17:27:022","2026-07-22 09:17:27:022","Belagavi PS","BELBEL","48211000000048016","48211000000054006",""
"48211000000072948","48211000000013007","2026-07-22 09:17:27:024","2026-07-22 09:17:27:024","Athani PS","BELATH","48211000000048016","48211000000054006",""
"48211000000072949","48211000000013007","2026-07-22 09:17:27:025","2026-07-22 09:17:27:025","Bailhongal PS","BELBAI","48211000000048016","48211000000054006",""
"48211000000072950","48211000000013007","2026-07-22 09:17:27:027","2026-07-22 09:17:27:027","Chikkodi PS","BELCHI","48211000000048016","48211000000054006",""
"48211000000072951","48211000000013007","2026-07-22 09:17:27:028","2026-07-22 09:17:27:028","Gokak PS","BELGOK","48211000000048016","48211000000054006",""
"48211000000072952","48211000000013007","2026-07-22 09:17:27:029","2026-07-22 09:17:27:029","Khanapura PS","BELKHA","48211000000048016","48211000000054006",""
"48211000000072953","48211000000013007","2026-07-22 09:17:27:031","2026-07-22 09:17:27:031","Mudalgi PS","BELMUD","48211000000048016","48211000000054006",""
"48211000000072954","48211000000013007","2026-07-22 09:17:27:032","2026-07-22 09:17:27:032","Nippani PS","BELNIP","48211000000048016","48211000000054006",""
"48211000000072955","48211000000013007","2026-07-22 09:17:27:034","2026-07-22 09:17:27:034","Rayabaga PS","BELRAY","48211000000048016","48211000000054006",""
"48211000000072956","48211000000013007","2026-07-22 09:17:27:035","2026-07-22 09:17:27:035","Savadatti PS","BELSAV","48211000000048016","48211000000054006",""
"48211000000072957","48211000000013007","2026-07-22 09:17:27:036","2026-07-22 09:17:27:036","Ramadurga PS","BELRAM","48211000000048016","48211000000054006",""
"48211000000072958","48211000000013007","2026-07-22 09:17:27:038","2026-07-22 09:17:27:038","Kagawada PS","BELKAG","48211000000048016","48211000000054006",""
"48211000000072959","48211000000013007","2026-07-22 09:17:27:039","2026-07-22 09:17:27:039","Hukkeri PS","BELHUK","48211000000048016","48211000000054006",""
"48211000000072960","48211000000013007","2026-07-22 09:17:27:041","2026-07-22 09:17:27:041","Kitturu PS","BELKIT","48211000000048016","48211000000054006",""
"48211000000072961","48211000000013007","2026-07-22 09:17:27:042","2026-07-22 09:17:27:042","Yargatti PS","BELYAR","48211000000048016","48211000000054006",""
"48211000000072962","48211000000013007","2026-07-22 09:17:27:044","2026-07-22 09:17:27:044","Bengaluru PS","BENBEN","48211000000048013","48211000000054006",""
"48211000000072963","48211000000013007","2026-07-22 09:17:27:045","2026-07-22 09:17:27:045","Kengeri PS","BENKEN","48211000000048013","48211000000054006",""
"48211000000072964","48211000000013007","2026-07-22 09:17:27:047","2026-07-22 09:17:27:047","Krishnarajapura PS","BENKRI","48211000000048013","48211000000054006",""
"48211000000072965","48211000000013007","2026-07-22 09:17:27:048","2026-07-22 09:17:27:048","Anekal PS","BENANE","48211000000048013","48211000000054006",""
"48211000000072966","48211000000013007","2026-07-22 09:17:27:050","2026-07-22 09:17:27:050","Yelahanka PS","BENYEL","48211000000048013","48211000000054006",""
"48211000000072967","48211000000013007","2026-07-22 09:17:27:051","2026-07-22 09:17:27:051","Nelamangala PS","BENNEL","48211000000054383","48211000000054006",""
"48211000000072968","48211000000013007","2026-07-22 09:17:27:052","2026-07-22 09:17:27:052","Doddaballapura PS","BENDOD","48211000000054383","48211000000054006",""
"48211000000072969","48211000000013007","2026-07-22 09:17:27:054","2026-07-22 09:17:27:054","Devanahalli PS","BENDEV","48211000000054383","48211000000054006",""
"48211000000072970","48211000000013007","2026-07-22 09:17:27:055","2026-07-22 09:17:27:055","Hosakote PS","BENHOS","48211000000054383","48211000000054006",""
"48211000000072971","48211000000013007","2026-07-22 09:17:27:057","2026-07-22 09:17:27:057","Aurad PS","BIDAUR","48211000000054384","48211000000054006",""
"48211000000072972","48211000000013007","2026-07-22 09:17:27:058","2026-07-22 09:17:27:058","Basavakalyana PS","BIDBAS","48211000000054384","48211000000054006",""
"48211000000072973","48211000000013007","2026-07-22 09:17:27:060","2026-07-22 09:17:27:060","Bhalki PS","BIDBHA","48211000000054384","48211000000054006",""
"48211000000072974","48211000000013007","2026-07-22 09:17:27:061","2026-07-22 09:17:27:061","Bidar PS","BIDBID","48211000000054384","48211000000054006",""
"48211000000072975","48211000000013007","2026-07-22 09:17:27:062","2026-07-22 09:17:27:062","Chitgoppa PS","BIDCHI","48211000000054384","48211000000054006",""
"48211000000072976","48211000000013007","2026-07-22 09:17:27:064","2026-07-22 09:17:27:064","Hulsuru PS","BIDHUL","48211000000054384","48211000000054006",""
"48211000000072977","48211000000013007","2026-07-22 09:17:27:065","2026-07-22 09:17:27:065","Humnabad PS","BIDHUM","48211000000054384","48211000000054006",""
"48211000000072978","48211000000013007","2026-07-22 09:17:27:067","2026-07-22 09:17:27:067","Kamalanagara PS","BIDKAM","48211000000054384","48211000000054006",""
"48211000000072979","48211000000013007","2026-07-22 09:17:27:068","2026-07-22 09:17:27:068","Chamarajanagara PS","CHACHA","48211000000054385","48211000000054006",""
"48211000000072980","48211000000013007","2026-07-22 09:17:27:070","2026-07-22 09:17:27:070","Gundlupete PS","CHAGUN","48211000000054385","48211000000054006",""
"48211000000072981","48211000000013007","2026-07-22 09:17:27:071","2026-07-22 09:17:27:071","Kollegala PS","CHAKOL","48211000000054385","48211000000054006",""
"48211000000072982","48211000000013007","2026-07-22 09:17:27:073","2026-07-22 09:17:27:073","Yelanduru PS","CHAYEL","48211000000054385","48211000000054006",""
"48211000000072983","48211000000013007","2026-07-22 09:17:27:074","2026-07-22 09:17:27:074","Hanuru PS","CHAHAN","48211000000054385","48211000000054006",""
"48211000000072984","48211000000013007","2026-07-22 09:17:27:076","2026-07-22 09:17:27:076","Chikkaballapura PS","CHICHI","48211000000054386","48211000000054006",""
"48211000000072985","48211000000013007","2026-07-22 09:17:27:077","2026-07-22 09:17:27:077","Bagepalli PS","CHIBAG","48211000000054386","48211000000054006",""
"48211000000072986","48211000000013007","2026-07-22 09:17:27:078","2026-07-22 09:17:27:078","Chintamani PS","CHICHI2","48211000000054386","48211000000054006",""
"48211000000072987","48211000000013007","2026-07-22 09:17:27:080","2026-07-22 09:17:27:080","Gauribidanuru PS","CHIGAU","48211000000054386","48211000000054006",""
"48211000000072988","48211000000013007","2026-07-22 09:17:27:081","2026-07-22 09:17:27:081","Gudibanda PS","CHIGUD","48211000000054386","48211000000054006",""
"48211000000072989","48211000000013007","2026-07-22 09:17:27:083","2026-07-22 09:17:27:083","Sidlaghatta PS","CHISID","48211000000054386","48211000000054006",""
"48211000000072990","48211000000013007","2026-07-22 09:17:27:084","2026-07-22 09:17:27:084","Cheluru PS","CHICHE","48211000000054386","48211000000054006",""
"48211000000072991","48211000000013007","2026-07-22 09:17:27:085","2026-07-22 09:17:27:085","Manchenahalli PS","CHIMAN","48211000000054386","48211000000054006",""
