"ROWID","CameraName","Latitude","Longitude","DistrictId","UnitId","Status"
"48211000000129576","Cubbon Park Court Complex Cam 1","12.973696","77.603163","48211000000048013","48211000000054017","Active"
"48211000000129577","Cubbon Park School Zone Cam 2","12.966647","77.615487","48211000000048013","48211000000054017","Active"
"48211000000129578","Cubbon Park Railway Junction Cam 3","12.976858","77.603435","48211000000048013","48211000000054017","Active"
"48211000000129579","Cubbon Park Railway Junction Cam 4","12.972579","77.600596","48211000000048013","48211000000054017","Active"
"48211000000129580","Cubbon Park Market Cam 5","12.963843","77.608268","48211000000048013","48211000000054017","Active"
"48211000000129581","Cubbon Park Hospital Cam 6","12.989463","77.594633","48211000000048013","48211000000054017","Active"
"48211000000129582","Cubbon Park Bus Stand Cam 7","12.977777","77.601579","48211000000048013","48211000000054017","Active"
"48211000000129583","Cubbon Park College Cam 8","12.977806","77.609187","48211000000048013","48211000000054017","Active"
"48211000000129584","Cubbon Park Government Office Cam 9","12.97791","77.602812","48211000000048013","48211000000054017","Active"
"48211000000129585","Cubbon Park Market Cam 10","12.963723","77.599543","48211000000048013","48211000000054017","Active"
"48211000000129586","Cubbon Park Church Cam 11","12.958694","77.617293","48211000000048013","48211000000054017","Active"
"48211000000129587","Cubbon Park Hospital Cam 12","12.967381","77.608584","48211000000048013","48211000000054017","Active"
"48211000000129588","Cubbon Park Government Office Cam 13","12.961792","77.598682","48211000000048013","48211000000054017","Active"
"48211000000129589","Cubbon Park Court Complex Cam 14","12.973156","77.58896","48211000000048013","48211000000054017","Active"
"48211000000129590","Cubbon Park Main Road Junction Cam 15","12.973453","77.608866","48211000000048013","48211000000054017","Active"
"48211000000129591","Cubbon Park Court Complex Cam 16","12.95747","77.606468","48211000000048013","48211000000054017","Active"
"48211000000129592","Cubbon Park Stadium Cam 17","12.97985","77.611782","48211000000048013","48211000000054017","Active"
"48211000000129593","Cubbon Park Stadium Cam 18","12.976223","77.598386","48211000000048013","48211000000054017","Active"
"48211000000129594","Cubbon Park Main Road Junction Cam 19","12.978675","77.605411","48211000000048013","48211000000054017","Active"
"48211000000129595","Cubbon Park Police HQ Gate Cam 20","12.983513","77.587751","48211000000048013","48211000000054017","Active"
"48211000000129596","Cubbon Park College Cam 21","12.993356","77.618179","48211000000048013","48211000000054017","Active"
"48211000000129597","Cubbon Park Hospital Cam 22","12.992091","77.614709","48211000000048013","48211000000054017","Active"
"48211000000129598","Whitefield College Cam 1","12.970769","77.74892","48211000000048013","48211000000054018","Active"
"48211000000129599","Whitefield Main Road Junction Cam 2","12.971197","77.769843","48211000000048013","48211000000054018","Active"
"48211000000129600","Whitefield Bus Stand Cam 3","12.953004","77.752023","48211000000048013","48211000000054018","Active"
"48211000000129601","Whitefield Main Road Junction Cam 4","12.969873","77.753655","48211000000048013","48211000000054018","Active"
"48211000000129602","Whitefield Railway Junction Cam 5","12.947972","77.751687","48211000000048013","48211000000054018","Active"
"48211000000129603","Whitefield Police HQ Gate Cam 6","12.964649","77.745568","48211000000048013","48211000000054018","Active"
