CameraName,Latitude,Longitude,Status,UnitId
Bengaluru Urban Police Station Cam 4501,13.030991,77.597989,Active,48211000000072966
Bengaluru Urban Major Town Center Cam 4502,13.033745,77.59714,Active,48211000000072966
Bengaluru Urban School Cam 4503,13.035487,77.599693,Active,48211000000072966
Bengaluru Urban Police Station Cam 4504,13.029848,77.599901,Active,48211000000072966
Bengaluru Urban Market Cam 4505,13.027963,77.601019,Active,48211000000072966
Bengaluru Urban Highway Junction Cam 4506,13.033749,77.601073,Active,48211000000072966
Bengaluru Urban Industrial Area Cam 4507,12.929634,77.628628,Active,48211000000072966
Bengaluru Urban Bus Stand Cam 4508,12.932027,77.627474,Active,48211000000072966
Bengaluru Urban Village Junction Cam 4509,12.925954,77.623341,Active,48211000000072966
Bengaluru Urban Police Station Cam 4510,12.927355,77.629665,Active,48211000000072966
Bengaluru Urban Market Cam 4511,12.931324,77.62323,Active,48211000000072966
Bengaluru Urban School Cam 4512,12.928469,77.624342,Active,48211000000072966
Bengaluru Urban Hospital Cam 4513,12.929988,77.629038,Active,48211000000072966
Bengaluru Urban Industrial Area Cam 4514,13.06555,77.463994,Active,48211000000072962
Bengaluru Urban Police Station Cam 4515,13.059876,77.461873,Active,48211000000072962
Bengaluru Urban School Cam 4516,13.064493,77.463395,Active,48211000000072962
Bengaluru Urban Major Town Center Cam 4517,13.062076,77.465173,Active,48211000000072962
Bengaluru Urban Market Cam 4518,13.064381,77.467247,Active,48211000000072962
Bengaluru Urban Commercial Street Cam 4519,13.064973,77.463978,Active,48211000000072962
Bengaluru Urban Highway Junction Cam 4520,13.062069,77.464297,Active,48211000000072962
Bengaluru Urban Commercial Street Cam 4521,13.136927,77.679045,Active,48211000000072964
Bengaluru Urban Government Office Cam 4522,13.133293,77.671439,Active,48211000000072964
Bengaluru Urban Hospital Cam 4523,13.13375,77.675656,Active,48211000000072964
Bengaluru Urban Market Cam 4524,13.132867,77.677517,Active,48211000000072964
Bengaluru Urban Government Office Cam 4525,13.140161,77.678906,Active,48211000000072964
Bengaluru Urban Highway Junction Cam 4526,13.140553,77.672517,Active,48211000000072964
Bengaluru Urban Government Office Cam 4527,12.716931,77.74336,Active,48211000000072963
Bengaluru Urban Major Town Center Cam 4528,12.719955,77.738371,Active,48211000000072963
Bengaluru Urban Tourist Point Cam 4529,12.720527,77.737934,Active,48211000000072963
Bengaluru Urban Village Junction Cam 4530,12.715144,77.739085,Active,48211000000072963
Bengaluru Urban Government Office Cam 4531,12.719401,77.738292,Active,48211000000072963
Bengaluru Urban Market Cam 4532,12.716437,77.739012,Active,48211000000072963
Bengaluru Urban Government Office Cam 4533,12.797463,77.601709,Active,48211000000072966
Bengaluru Urban Hospital Cam 4534,12.802501,77.60664,Active,48211000000072966
Bengaluru Urban Police Station Cam 4535,12.795832,77.604437,Active,48211000000072966
Bengaluru Urban Government Office Cam 4536,12.800515,77.605738,Active,48211000000072966
Bengaluru Urban Railway Station Cam 4537,12.796075,77.600051,Active,48211000000072966
Bengaluru Urban Police Station Cam 4538,12.797169,77.60232,Active,48211000000072966
