CameraName,Latitude,Longitude,Status,UnitId
Chikkamagaluru Government Office Cam 1,13.624842,76.063562,Active,48211000000072992
Chikkamagaluru Commercial Street Cam 2,13.625909,76.056415,Active,48211000000072992
Chikkamagaluru Village Junction Cam 3,13.303029,75.108464,Active,48211000000072993
Chikkamagaluru Village Junction Cam 4,13.301477,75.110016,Active,48211000000072993
Chikkamagaluru Major Town Center Cam 5,13.302131,75.104792,Active,48211000000072993
Chikkamagaluru Major Town Center Cam 6,13.045224,75.672402,Active,48211000000072994
Chikkamagaluru Railway Station Cam 7,13.045371,75.674299,Active,48211000000072994
Chikkamagaluru Bus Stand Cam 8,13.042767,75.675045,Active,48211000000072994
Chikkamagaluru Village Junction Cam 9,13.735789,75.462,Active,48211000000072995
Chikkamagaluru Village Junction Cam 10,13.739165,75.465018,Active,48211000000072995
Chikkamagaluru Tourist Point Cam 11,13.735632,75.461754,Active,48211000000072995
Chikkamagaluru Village Junction Cam 12,13.370472,75.505253,Active,48211000000072997
Chikkamagaluru Railway Station Cam 13,13.372068,75.503685,Active,48211000000072997
Chikkamagaluru Residential Area Cam 14,13.376606,75.503891,Active,48211000000072997
Chikkamagaluru Railway Station Cam 15,13.376338,75.506963,Active,48211000000072997
Chikkamagaluru Tourist Point Cam 16,13.347329,75.855634,Active,48211000000073000
Chikkamagaluru Commercial Street Cam 17,13.75708,75.766348,Active,48211000000072998
Chikkamagaluru Highway Junction Cam 18,13.763004,75.766593,Active,48211000000072998
Chikkamagaluru Industrial Area Cam 19,13.762815,75.764254,Active,48211000000072998
Chikkamagaluru Railway Station Cam 20,13.557402,76.334162,Active,48211000000072992
Chikkamagaluru Tourist Point Cam 21,13.556785,76.333566,Active,48211000000072992
Chikkamagaluru College Cam 22,13.553266,76.32922,Active,48211000000072992
Chikkamagaluru Police Station Cam 23,13.558958,75.239084,Active,48211000000072999
Chikkamagaluru Major Town Center Cam 24,13.142211,75.286955,Active,48211000000072993
Chikkamagaluru Commercial Street Cam 25,13.137244,75.287121,Active,48211000000072993
Chikkamagaluru Market Cam 26,13.375794,76.079271,Active,48211000000072992
Chikkamagaluru School Cam 27,13.37382,76.078279,Active,48211000000072992
Chikkamagaluru Railway Station Cam 28,13.373908,76.078398,Active,48211000000072992
Chikkamagaluru School Cam 29,13.376816,76.081083,Active,48211000000072992
Chikkamagaluru Hospital Cam 30,13.837741,76.005316,Active,48211000000072996
Chikkamagaluru School Cam 31,13.498761,75.70443,Active,48211000000072998
Chikkamagaluru Government Office Cam 32,13.502774,75.703555,Active,48211000000072998
Chikkamagaluru Market Cam 33,13.353802,75.313703,Active,48211000000072997
Chikkamagaluru College Cam 34,13.34856,75.30934,Active,48211000000072997
Chikkamagaluru Village Junction Cam 35,13.347992,75.316737,Active,48211000000072997
Chikkamagaluru College Cam 36,13.347427,75.314905,Active,48211000000072997
Chikkamagaluru Railway Station Cam 37,13.230264,75.691869,Active,48211000000073000
Chikkamagaluru Market Cam 38,13.23427,75.696867,Active,48211000000073000
Chikkamagaluru Major Town Center Cam 39,13.231568,75.690421,Active,48211000000073000
Chikkamagaluru Highway Junction Cam 40,13.235767,75.697608,Active,48211000000073000
Chikkamagaluru Railway Station Cam 41,13.599872,75.872213,Active,48211000000072998
Chikkamagaluru Tourist Point Cam 42,13.595293,75.872102,Active,48211000000072998
Chikkamagaluru College Cam 43,13.597552,75.86473,Active,48211000000072998
